127.0.0.1 - - [12/Jul/2017:09:25:25 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:26 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/add_contacts.jsp HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/style.css HTTP/1.1" 200 14705
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/yuding.css HTTP/1.1" 200 25208
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/layer.css HTTP/1.1" 200 10345
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/jquery.cookie.js HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/jquery-1.7.1.min.js HTTP/1.1" 200 93872
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/icon.png HTTP/1.1" 200 10695
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/chdata.js HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/bg.jpg HTTP/1.1" 200 4771
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/left_bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/icon_01.gif HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:25:27 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/tq.gif HTTP/1.1" 404 1104
